Sector,Sub-Sector,Technology,Euro No.,Pollutant,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Ita,Thita,RF,Vmin,Vmax,Equation
Passenger Cars,Diesel <1.4 l,PC Euro 6 - EC 715/2007,6c,NOx,2.329696846993980E-01,1.004345254767310E-02,-2.879147214972440E-03,-1.023611780326690E-04,1.552493856834330E-05,-2.462385749935820E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6c,NOx,2.329696846993980E-01,1.004345254767310E-02,-2.879147214972440E-03,-1.023611780326690E-04,1.552493856834330E-05,-2.462385749935820E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Diesel >2.0 l,PC Euro 6 - EC 715/2007,6c,NOx,2.329696846993980E-01,1.004345254767310E-02,-2.879147214972440E-03,-1.023611780326690E-04,1.552493856834330E-05,-2.462385749935820E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,10,130,Equation 1
Passenger Cars,Gasoline <0.8 l,PC Euro 5 - EC 715/2007,5,HC,2.873864359886990E-16,6.434935622221730E+00,2.169103243459600E-02,-3.420476585847410E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 9
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 5 - EC 715/2007,5,HC,2.873864359886990E-16,6.434935622221730E+00,2.169103243459600E-02,-3.420476585847410E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 9
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 5 - EC 715/2007,5,HC,2.873864359886990E-16,6.434935622221730E+00,2.169103243459600E-02,-3.420476585847410E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 9
Passenger Cars,Gasoline >2.0 l,PC Euro 5 - EC 715/2007,5,HC,2.873864359886990E-16,6.434935622221730E+00,2.169103243459600E-02,-3.420476585847410E-01,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 9
Passenger Cars,Gasoline <0.8 l,PC Euro 6 - EC 715/2007,6,HC,-1.729820072537950E-12,7.445905821974820E-10,-9.589338491014850E-08,5.316698515760720E-06,-1.611156572727740E-04,8.981376543670680E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 0.8 - 1.4 l,PC Euro 6 - EC 715/2007,6,HC,-1.729820072537950E-12,7.445905821974820E-10,-9.589338491014850E-08,5.316698515760720E-06,-1.611156572727740E-04,8.981376543670680E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
Passenger Cars,Gasoline 1.4 - 2.0 l,PC Euro 6 - EC 715/2007,6,HC,-1.729820072537950E-12,7.445905821974820E-10,-9.589338491014850E-08,5.316698515760720E-06,-1.611156572727740E-04,8.981376543670680E-03,0.000000000000000E+00,0.000000000000000E+00,0.000000000000000E+00,5,130,Equation 17
